{'n_hidden_layers': 3, 'n_neurons': 350, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 200, 'activation': <function elu at 0x0000018F3FA8B2F0>, 'dropout_rate': 0.4, 'accuracy_rate': 0.9947471022605896}
{'n_hidden_layers': 1, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.850699782371521}
{'n_hidden_layers': 3, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.86780726909637451}
{'n_hidden_layers': 1, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.87091755867004395}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88802492618560791}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.86158633232116699}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.85692077875137329}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.85692071914672852}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.9097977876663208}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87869364023208618}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.86158633232116699}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.321928471326828}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.86314153671264648}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.88335931301116943}
{'n_hidden_layers': 1, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87713837623596191}
{'n_hidden_layers': 3, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.85069990158081055}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.89580094814300537}
{'n_hidden_layers': 1, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.8755832314491272}
{'n_hidden_layers': 1, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.83825814723968506}
{'n_hidden_layers': 3, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.86469674110412598}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.90357697010040283}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87869364023208618}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.79315704107284546}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.8755832314491272}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.75738728046417236}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.79626750946044922}
{'n_hidden_layers': 1, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.88180410861968994}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.80870914459228516}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.54432350397109985}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.78227061033248901}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.30326592922210693}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88802492618560791}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.91290831565856934}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.8895801305770874}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.869362473487854}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.83359259366989136}
{'n_hidden_layers': 2, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.89424574375152588}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.8102644681930542}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.025, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87247276306152344}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.85069990158081055}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.86003106832504272}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88802492618560791}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.90668737888336182}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.39813375473022461}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.76049768924713135}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.71695178747177124}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.28771385550498962}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.69362366199493408}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.73250389099121094}
{'n_hidden_layers': 3, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.78693622350692749}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.61897355318069458}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.82115083932876587}
{'n_hidden_layers': 1, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87091761827468872}
{'n_hidden_layers': 3, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.19129082560539246}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88491445779800415}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.66874027252197266}
{'n_hidden_layers': 1, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.2, 'accuracy_rate': 0.87713843584060669}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.90357697010040283}
{'n_hidden_layers': 1, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.1, 'accuracy_rate': 0.89424574375152588}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.73716962337493896}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.89735615253448486}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 400, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.87869369983673096}
{'n_hidden_layers': 2, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.84914463758468628}
{'n_hidden_layers': 3, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x000001A253678950>, 'dropout_rate': 0.2, 'accuracy_rate': 0.89113527536392212}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88802492618560791}
{'n_hidden_layers': 2, 'n_neurons': 250, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 1e-06, 'accuracy_rate': 0.87713843584060669}
{'n_hidden_layers': 2, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.025, 'batch_size': 600, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.88024884462356567}
{'n_hidden_layers': 3, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 300, 'activation': <function elu at 0x000001A25150B378>, 'dropout_rate': 0.1, 'accuracy_rate': 0.23172628879547119}
